							Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	3	42	500	1.0	1.0	00:00:46.00	
	10	3	42	400	1.0	1.0	00:00:46.00	
	10	3	42	300	1.0	1.0	00:00:46.00	
	10	2	42	100	0.5	1.0	00:24:02.00	
	10	2	42	200	0.5	1.0	00:24:02.00	
	10	2	42	500	0.5	1.0	00:24:02.00	
	10	2	42	400	0.5	1.0	00:24:02.00	
	10	2	42	300	0.5	1.0	00:24:02.00	
	10	4	42	100	1.0	0.33	00:00:00.00	
	10	4	42	200	1.0	0.33	00:00:00.00	
	10	4	42	500	1.0	0.33	00:00:00.00	
	10	4	42	400	1.0	0.33	00:00:00.00	
	10	4	42	300	1.0	0.33	00:00:00.00	
	10	2	42	100	1.0	1.0	00:15:20.00	
	10	2	42	200	1.0	1.0	00:15:20.00	
	10	2	42	500	1.0	1.0	00:15:20.00	
	10	2	42	400	1.0	1.0	00:15:20.00	
	10	2	42	300	1.0	1.0	00:15:20.00	
	10	4	42	100	0.0	0.0	00:00:00.00	
	10	4	42	200	0.0	0.0	00:00:00.00	
	10	4	42	500	0.0	0.0	00:00:00.00	
	10	4	42	400	0.0	0.0	00:00:00.00	
	10	4	42	300	0.0	0.0	00:00:00.00	
	10	2	42	100	0.5	0.66	00:57:07.00	
	10	2	42	200	0.5	0.66	00:57:07.00	
	10	2	42	500	0.5	0.66	00:57:07.00	
	10	2	42	400	0.5	0.66	00:57:07.00	
	10	2	42	300	0.5	0.66	00:57:07.00	
	10	2	42	100	1.0	0.33	00:09:06.00	
	10	2	42	200	1.0	0.33	00:09:06.00	
	10	2	42	500	1.0	0.33	00:09:06.00	
	10	2	42	400	1.0	0.33	00:09:06.00	
	10	2	42	300	1.0	0.33	00:09:06.00	
	10	2	42	100	0.5	0.33	00:14:39.00	
	10	2	42	200	0.5	0.33	00:14:39.00	
	10	2	42	500	0.5	0.33	00:14:39.00	
	10	2	42	400	0.5	0.33	00:14:39.00	
