							Linear					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
AVG OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	3	42		1.0	0.66	00:00:00.00	
	10	4	42		1.0	1.0	00:00:02.00	
	10	3	42		0.5	1.0	00:02:26.00	
	10	3	42		1.0	1.0	00:00:47.00	
	10	2	42		0.5	1.0	00:25:04.00	
	10	4	42		1.0	0.33	00:00:00.00	
	10	2	42		1.0	1.0	00:23:40.00	
	10	4	42		0.0	0.0	00:00:00.00	
	10	2	42		0.5	0.66	00:08:14.00	
	10	2	42		1.0	0.33	00:08:07.00	
	10	2	42		0.5	0.33	00:24:39.00	
	10	3	42		1.0	0.33	00:00:00.00	
	10	4	42		0.5	0.33	00:04:21.00	
	10	3	42		0.5	0.33	00:05:56.00	
	10	2	42		1.0	0.66	00:08:07.00	
	10	4	42		0.5	1.0	00:06:41.00	
	10	4	42		0.5	0.66	00:00:14.00	
	10	3	42		0.5	0.66	00:00:00.00	
	10	3	42		0.0	0.0	00:00:00.00	
	10	2	42		0.0	0.0	00:08:14.00	
	10	4	42		1.0	0.66	00:00:00.00	

TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	3	42	100	1.0	0.66	0	
	10	3	42	200	1.0	0.66	0	
	10	3	42	500	1.0	0.66	0	
	10	3	42	400	1.0	0.66	0	
	10	3	42	300	1.0	0.66	0	
	10	4	42	100	1.0	1.0	1	
	10	4	42	200	1.0	1.0	1	
	10	4	42	500	1.0	1.0	1	
	10	4	42	400	1.0	1.0	1	
	10	4	42	300	1.0	1.0	1	
	10	3	42	100	0.5	1.0	2	
	10	3	42	200	0.5	1.0	2	
	10	3	42	500	0.5	1.0	2	
	10	3	42	400	0.5	1.0	2	
	10	3	42	300	0.5	1.0	2	
	10	3	42	100	1.0	1.0	3	
	10	3	42	200	1.0	1.0	3	
	10	3	42	500	1.0	1.0	3	
	10	3	42	400	1.0	1.0	3	
	10	3	42	300	1.0	1.0	3	
	10	2	42	100	0.5	1.0	6	
	10	2	42	200	0.5	1.0	6	
	10	2	42	500	0.5	1.0	6	
	10	2	42	400	0.5	1.0	6	
	10	2	42	300	0.5	1.0	6	
	10	4	42	100	1.0	0.33	0	
	10	4	42	200	1.0	0.33	0	
	10	4	42	500	1.0	0.33	0	
	10	4	42	400	1.0	0.33	0	
	10	4	42	300	1.0	0.33	0	
	10	2	42	100	1.0	1.0	8	
	10	2	42	200	1.0	1.0	8	
	10	2	42	500	1.0	1.0	8	
	10	2	42	400	1.0	1.0	8	
	10	2	42	300	1.0	1.0	8	
	10	4	42	100	0.0	0.0	0	
	10	4	42	200	0.0	0.0	0	
	10	4	42	500	0.0	0.0	0	
	10	4	42	400	0.0	0.0	0	
	10	4	42	300	0.0	0.0	0	
	10	2	42	100	0.5	0.66	6	
	10	2	42	200	0.5	0.66	6	
	10	2	42	500	0.5	0.66	6	
	10	2	42	400	0.5	0.66	6	
	10	2	42	300	0.5	0.66	6	
	10	2	42	100	1.0	0.33	6	
	10	2	42	200	1.0	0.33	6	
	10	2	42	500	1.0	0.33	6	
	10	2	42	400	1.0	0.33	6	
	10	2	42	300	1.0	0.33	6	
	10	2	42	100	0.5	0.33	8	
	10	2	42	200	0.5	0.33	8	
	10	2	42	500	0.5	0.33	8	
	10	2	42	400	0.5	0.33	8	
	10	2	42	300	0.5	0.33	8	
	10	3	42	100	1.0	0.33	0	
	10	3	42	200	1.0	0.33	0	
	10	3	42	500	1.0	0.33	0	
	10	3	42	400	1.0	0.33	0	
	10	3	42	300	1.0	0.33	0	
	10	4	42	100	0.5	0.33	2	
	10	4	42	200	0.5	0.33	2	
	10	4	42	500	0.5	0.33	2	
	10	4	42	400	0.5	0.33	2	
	10	4	42	300	0.5	0.33	2	
	10	3	42	100	0.5	0.33	2	
	10	3	42	200	0.5	0.33	2	
	10	3	42	500	0.5	0.33	2	
	10	3	42	400	0.5	0.33	2	
	10	3	42	300	0.5	0.33	2	
	10	2	42	100	1.0	0.66	6	
	10	2	42	200	1.0	0.66	6	
	10	2	42	500	1.0	0.66	6	
	10	2	42	400	1.0	0.66	6	
	10	2	42	300	1.0	0.66	6	
	10	4	42	100	0.5	1.0	5	
	10	4	42	200	0.5	1.0	5	
	10	4	42	500	0.5	1.0	5	
	10	4	42	400	0.5	1.0	5	
	10	4	42	300	0.5	1.0	5	
	10	4	42	100	0.5	0.66	1	
	10	4	42	200	0.5	0.66	1	
	10	4	42	500	0.5	0.66	1	
	10	4	42	400	0.5	0.66	1	
	10	4	42	300	0.5	0.66	1	
	10	3	42	100	0.5	0.66	0	
	10	3	42	200	0.5	0.66	0	
	10	3	42	500	0.5	0.66	0	
	10	3	42	400	0.5	0.66	0	
	10	3	42	300	0.5	0.66	0	
	10	3	42	100	0.0	0.0	0	
	10	3	42	200	0.0	0.0	0	
	10	3	42	500	0.0	0.0	0	
	10	3	42	400	0.0	0.0	0	
	10	3	42	300	0.0	0.0	0	
	10	2	42	100	0.0	0.0	6	
	10	2	42	200	0.0	0.0	6	
	10	2	42	500	0.0	0.0	6	
	10	2	42	400	0.0	0.0	6	
	10	2	42	300	0.0	0.0	6	
	10	4	42	100	1.0	0.66	0	
	10	4	42	200	1.0	0.66	0	
	10	4	42	500	1.0	0.66	0	
	10	4	42	400	1.0	0.66	0	
	10	4	42	300	1.0	0.66	0	

